minority,age,female,onecredit,beauty,course_eval,intro,nnenglish
1,36,1,0,0.2899157,4.3,0,0
0,59,0,0,-0.7377322,4.5,0,0
0,51,0,0,-0.5719836,3.7,0,0
0,40,1,0,-0.6779634,4.3,0,0
0,31,1,0,1.509794,4.4,0,0
0,62,0,0,0.5885687,4.2,0,0
0,33,1,0,-0.126001,4,0,0
0,51,1,0,-0.2581899,3.4,0,0
0,33,1,0,0.1496926,4.5,0,0
0,47,0,0,0.540917,3.9,0,0
1,35,0,0,0.2316134,3.1,0,1
0,37,0,0,-0.0666737,4,0,0
0,42,0,0,0.2168924,3.8,0,0
0,49,0,0,-0.2586962,3.4,0,1
0,37,1,0,0.5502878,2.9,0,0
0,45,0,0,-0.0620358,4.5,0,0
0,56,1,0,-0.9823852,4,0,0
0,48,0,0,-0.054344,3.8,1,0
0,46,1,0,-0.0680143,4.3,0,0
0,57,1,0,0.0294137,3.4,0,0
0,52,1,0,0.2394859,3.4,0,0
1,29,1,0,-0.8487269,3.3,0,1
0,62,0,0,-0.7330914,4.3,0,0
0,64,0,0,-0.1111221,4.4,0,0
0,34,1,0,1.775517,4.6,0,0
0,58,0,0,-0.3218485,4.2,0,0
1,52,0,0,0.2116939,4,0,1
0,73,0,0,-0.717645,3.3,0,0
0,70,0,0,-0.7326927,4.4,0,0
0,41,1,0,0.4081676,2.3,0,0
0,63,0,0,-0.0102077,3.5,0,0
0,47,0,0,-0.923957,4.7,0,0
0,39,0,0,0.5766805,3.9,1,0
1,47,1,0,-0.0836015,4,1,0
0,54,0,0,-1.079558,4.3,0,0
1,44,1,0,1.040902,3.8,0,0
1,47,0,0,-1.052108,3.8,0,0
0,62,0,0,-0.7277681,4,0,0
0,60,0,0,-0.3953965,4.6,0,0
0,37,0,0,0.9333959,3.5,0,0
0,42,0,0,-0.2377786,4.7,0,0
0,35,0,0,0.274908,4.2,0,0
0,39,1,0,1.970023,3.4,1,0
0,49,0,0,1.05095,3.9,0,0
0,61,0,0,0.2418185,4.5,1,0
0,33,0,0,1.349395,4.7,0,0
0,58,1,0,0.1115635,3.5,0,0
0,56,1,0,-0.2577254,3.7,0,0
0,50,1,0,-0.6562689,4,1,0
0,52,0,0,-0.6563948,4.1,0,0
0,33,1,0,0.7244775,4.4,0,0
0,57,0,0,0.6318343,4.2,0,0
0,38,1,0,1.070944,4.5,0,0
0,34,1,0,-1.450494,3.8,1,0
0,34,0,0,1.15588,3.1,0,0
0,32,0,0,-0.3260148,3.7,1,0
0,42,1,0,0.8846435,3.9,1,0
0,43,1,0,-0.5583452,4,1,0
0,35,0,0,-0.3415543,3.3,0,1
0,62,1,0,-0.5040575,3.1,0,0
0,42,0,0,-0.9005804,4,0,0
0,39,0,0,0.6430142,4.3,0,0
0,52,1,0,0.773524,3.7,0,0
0,52,1,0,1.063938,3.4,0,0
